component,title,layer,purpose,source_file,source_sha256,runtime_owner,integration_mechanism,binding_notes,implementation_status,vec1_terminal_state,closure_reason
011,Charge Register,Virtual Physical-Properties Layer,"Represents the logical electron charge, normally -1.",011_Charge_Register.md,82dcbce564cb9c5629dbba9592427b52e8bfd699dba6004a450bd8ae84b0ef3a,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
012,Energy Register,Virtual Physical-Properties Layer,Stores the current virtual energy level.,012_Energy_Register.md,410a22241414c39e38b85b2f7954bb8b48708ca8d685eb8e2ba1f9d3c1f64410,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
013,Orbital Register,Virtual Physical-Properties Layer,"Stores the current logical orbital, plugin, or execution assignment.",013_Orbital_Register.md,d6143295b345f15244283d9b77ce92d50cc8c80b396a415a21223b88b1f01f78,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
014,State Register,Virtual Physical-Properties Layer,Stores the general electron state identifier.,014_State_Register.md,4bfb8b574552c706dd5170574f3ff0f7e491d11fc473096ec049a272d8918d59,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
015,Phase Register,Virtual Physical-Properties Layer,Provides a deterministic phase or state-cycle representation.,015_Phase_Register.md,a8eee2c6ec192627549e85732e18df73c62b4651e4e27b4d733adc9f3ad05324,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
016,Spin Register,Virtual Physical-Properties Layer,Provides a logical two-state property such as UP/DOWN or 0/1.,016_Spin_Register.md,9023f7e5adf8ca21a9c09364537d51b083936352dad2b53f40545a8cac547836,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
017,Momentum Vector,Virtual Physical-Properties Layer,Optional software representation of directional execution state.,017_Momentum_Vector.md,d83bcab7211748c1c54bd64573c455ca8f2b072d13fdb0d86133c7ae0fab15b5,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
018,Position/Node Vector,Virtual Physical-Properties Layer,Represents location within the virtual fabric rather than physical space.,018_Position_Node_Vector.md,4bf41c23736a8f334178f5aa5a564d6d2911ab6b9b7071045c53f0db9fe2181a,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
019,Interaction Radius,Virtual Physical-Properties Layer,Defines which other virtual entities the electron may communicate with.,019_Interaction_Radius.md,487a99c2ff382c8e57099d7ba5d10ad1383b1ae7306d6a4d335a5668fa9362d1,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
020,Energy Transition Table,Virtual Physical-Properties Layer,Defines legal changes between virtual energy levels.,020_Energy_Transition_Table.md,1c3d5e065cac8325a650f21e844afa8ffcf25faae2c0231e1ddba1dd955b7fec,VEC_CONTROL+DF0,Virtual property state,"deterministic logical state, placement and transition policy",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
021,Instruction Decoder,Computational Nucleus,Interprets canonical electron operations.,021_Instruction_Decoder.md,e5f782643fa55e568f34287a3750167603972bcfc511555b08cf772722b9939f,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
022,State Transition Engine,Computational Nucleus,Computes State(t+1) from State(t) deterministically.,022_State_Transition_Engine.md,0acd05d1b21acafc88c36ba68e72a3cba87fc063e2a6eba78e4a425f9eb1faf1,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
023,Register Bank,Computational Nucleus,Holds active runtime values for the electron.,023_Register_Bank.md,ba9b48f889cd827f7fd9f31cd6ceeebf9671ad7d10d12f3ae573469d93569aaa,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
024,Local Working Memory,Computational Nucleus,Provides bounded mutable execution workspace.,024_Local_Working_Memory.md,828b4a3fc004fb13a8ad62b35302009fce735dfbbe96bc7303fb6f0719e00e61,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
025,Persistent State Pointer,Computational Nucleus,Connects the electron to durable state maintained outside local working memory.,025_Persistent_State_Pointer.md,2d41a6b2c782fb3792a316d51f1ebb6ed5f7cd8286d6bf5880878a00a21660e7,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
026,Deterministic Clock/Tick Counter,Computational Nucleus,Provides repeatable logical execution ordering.,026_Deterministic_Clock_Tick_Counter.md,d5715d32aafad7854069a243ed162880179961b83406de8fa186f1bf0e50a34b,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
027,Deterministic PRNG,Computational Nucleus,Provides reproducible pseudorandom behavior when required.,027_Deterministic_PRNG.md,d2a87d492a0cbffd297b071a717f211b4eb9f947ebd40ab50927b9963ab0c800,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
028,Instruction Counter,Computational Nucleus,Tracks executed operations.,028_Instruction_Counter.md,f4d0ad108746b3345c30fb042248061060281d713fe23abfc340c85ffb720b86,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
029,Resource Meter,Computational Nucleus,"Accounts for CPU, time, memory, storage, and step budgets.",029_Resource_Meter.md,c2d7aedddb551f5c758e107d7268034628af88bf1b19bf292a0b8edef0350cd3,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
030,Execution Status Register,Computational Nucleus,"Tracks running, suspended, blocked, faulted, and verified execution states.",030_Execution_Status_Register.md,ed7b578d4e2c8d156b59be903a56f6224896a269190304027c6d41bdf33da2c0,VEC_CONTROL+ALL_NODES,Computational nucleus,canonical control state + target-native bounded execution,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
031,Mailbox,Interaction System,Receives messages and events destined for a virtual electron.,031_Mailbox.md,f494a81655d404d24e6b3a6d276049ad35ed7ef1c148b7811668033e32555a39,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
032,Outbound Queue,Interaction System,Buffers messages awaiting delivery.,032_Outbound_Queue.md,3cf5ed9b173cb0f3d73cc2fbf6c09348d248ab74e291570bec6a6b839c0e558b,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
033,Interaction Bus Adapter,Interaction System,Connects an electron to DF_Fabric messaging and transport.,033_Interaction_Bus_Adapter.md,0dd9d7033fb00db7b2e26915d7c990959797b547c7949ccba5728789210a182f,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
034,Peer Address Resolver,Interaction System,Locates other virtual particles and components.,034_Peer_Address_Resolver.md,2f3d6335220a95007c625e46da019e0fa683729c982171fa4053b175555f35f9,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
035,Signal Encoder,Interaction System,Converts internal state and events into Fabric messages.,035_Signal_Encoder.md,54d3bc174ad21a9a2cb0c30d99b53f91cff3be8060658017dc067e2b695c4ecf,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
036,Signal Decoder,Interaction System,Converts Fabric messages into validated electron events.,036_Signal_Decoder.md,aaddc8778ea8cea3a2d96f9be709dea4bdee57f1c61cd2c8daea37051250e2fd,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
037,Event Router,Interaction System,Routes interactions to the correct handler.,037_Event_Router.md,e71ea773f7435314ec00b11cdc7de92e21940a75cf750c3381fbd43f499a3666,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
038,Subscription Table,Interaction System,Defines events to which the electron responds.,038_Subscription_Table.md,8923bd9109c5301323972f1a44655f0d42f267de2560987cb9774b6f745fe40b,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
039,Binding Table,Interaction System,"Associates the electron with plugins, agents, tools, or workloads.",039_Binding_Table.md,13f5c81eaa77d166d116057b6b6663a209f0bbc00bd5c483f378e5d7b62e04bd,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
040,Interaction Policy,Interaction System,Defines which entities the electron is permitted to contact and under what conditions.,040_Interaction_Policy.md,46596672d95ead6ddf121e02c4bc6a06a643ca975fd58ab40935b03b714ba13b,DF0+N_LARGE,Fabric interaction plane,fabric routing with Large device/service edge,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
041,Freeze Controller,Clone Machinery,Halts the source electron at a deterministic state boundary.,041_Freeze_Controller.md,eba3d370fbd48381485228a3ae40b6e6908526d529176be83b857b06601a0711,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
042,State Canonicalizer,Clone Machinery,Converts VM-specific state into the common VEC state form.,042_State_Canonicalizer.md,6b6b1b59b21a244224814ebc4fa0624cb255c3e508c2d95ebc199621d4528b3c,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
043,Snapshot Engine,Clone Machinery,Produces sealed electron snapshots.,043_Snapshot_Engine.md,704616c5fb7c81fb02bcfc5af12764733a99885140b47e9d56c988e214fbba0f,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
044,Snapshot Hash,Clone Machinery,Cryptographically identifies a clone point.,044_Snapshot_Hash.md,bd96203b262eb2790587001da67a6e408e6b5440d58980446cdff28e056f4513,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
045,Fork Controller,Clone Machinery,Creates child electron instances from sealed state.,045_Fork_Controller.md,89e15723f1d9b7358ee71543882af84959efd9e0e37e3b9eb93ef58d3d892930,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
046,Clone-ID Generator,Clone Machinery,Creates unique descendant identifiers.,046_Clone_ID_Generator.md,38a6c1d18f78fd9b8fa9fde6cae8baa77f302a49992ede57ed4d88ec919ce91a,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
047,Copy-on-Write State Store,Clone Machinery,Avoids copying unchanged state for every clone.,047_Copy_on_Write_State_Store.md,678372ddf31a7d302e1a054e9ff10500d4b9a5db0e60ce572c121504a8764a7e,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
048,Clone Manifest,Clone Machinery,"Describes parent, child, snapshot, genome, and creation event.",048_Clone_Manifest.md,f213250db9534ae039b8c73d0730d627da019dc58f7caad8eb89025252bce3ef,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
049,Restore Engine,Clone Machinery,Instantiates an electron from a validated snapshot.,049_Restore_Engine.md,35c543ce263ad7c2a9b095f5491fc56efc85d76dfd43f942fb2d116244116963,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
050,Clone Equivalence Tester,Clone Machinery,Confirms parent and clone began from identical canonical state.,050_Clone_Equivalence_Tester.md,01c580fa6e3194a6d2263bdf6139a1ff2e04b0021fe62ea1c913b4fdfbf26f15,VEC_CONTROL+DF0,Clone control plane,canonical freeze/snapshot/fork with fabric checkpoint hooks,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
051,Canonical State Hash,Integrity & Evidence,Fingerprints the current logical state.,051_Canonical_State_Hash.md,7bc9fcaacf0d0ff9135b33c6e639fa29d6893c3755aa93b2516092f25cf87fa4,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
052,Capability Hash,Integrity & Evidence,Fingerprints the permitted capability set.,052_Capability_Hash.md,41557efc19f7b4e064158d93be68f0c52570895f122e36f1abecc9cdfdd52223,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
053,Configuration Hash,Integrity & Evidence,Fingerprints runtime configuration.,053_Configuration_Hash.md,33475f4e97ea6555b743822307a292029791c0740406f5430912efdb4a38d34d,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
054,Execution Receipt,Integrity & Evidence,"Records what program ran, under which inputs, and its outcome.",054_Execution_Receipt.md,0b6bfb94b029b28cbb4a84668fc1c12eeb2330acfa1ce78086a1b3d39ea791ba,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
055,Attestation Record,Integrity & Evidence,Records which VM nodes independently verified execution.,055_Attestation_Record.md,e7f9bef8ad2ce82d87aa80a1141ca1a6e83463fa28daf279b0ffeaf9f040f5a0,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
056,Append-Only Event Ledger,Integrity & Evidence,Maintains the permanent electron history.,056_Append_Only_Event_Ledger.md,800714d1ae9de979cc898a05398b3bbd1a0d3a53cbf0f11ceab70cb6d1c0b1d3,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
057,Replay Engine,Integrity & Evidence,Reconstructs execution from recorded deterministic events.,057_Replay_Engine.md,61e76752e6e3718438de5497a7f483b592da8626c810e96e334cb7a730d4a4b9,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
058,Tamper Detector,Integrity & Evidence,"Rejects altered genome, state, manifest, and ledger artifacts.",058_Tamper_Detector.md,572975cb59a48dbf28d538ab8e784065dfa6a3ce80af42cac7086c615ebddaa6,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
059,Schema Validator,Integrity & Evidence,Rejects malformed or incompatible VEC structures.,059_Schema_Validator.md,bd69d520ca79a5aef11fb5d5e11c3f69de56793d908e14f6114554e49687d962,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
060,Fail-Closed Gate Controller,Integrity & Evidence,Prevents unverified instances or transitions from becoming operational.,060_Fail_Closed_Gate_Controller.md,d2d4097818bfd5330034aa884c15cf583a1ce3f06857c1a11f7b03fbc70d3908,VEC_CONTROL+DF0,Integrity/evidence plane,"hashes, receipts, attestations, replay, fail-closed gates",REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
061,DF_Small Adapter,Four VM Manifestations,Provides the minimal/reference VEC implementation on DF_Small.,061_DF_Small_Adapter.md,86ec683dfd80bb5f777122857eef4d59e75e6e7241f59cf76429dfd2f2e5cd20,N_SMALL,DF_Small adapter,native C11 reference manifestation,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
062,MSSL Lowering Backend,Four VM Manifestations,Produces DF_Small-compatible MSSL representation.,062_MSSL_Lowering_Backend.md,d3857d5bec49c965d3d3dd7a6e88ae3f52a7fcdc50842d0ce057c7fe9ecc3a8e,N_SMALL,MSSL lowering,PA-LCTL rows -> MSSL/ASM-1 -> BRIM/1-v3,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
063,DF_Medium Adapter,Four VM Manifestations,Provides the main semantic/compiler validation environment.,063_DF_Medium_Adapter.md,1f8859844cbfc8a3ea62d237cf69ef7f8af138392c0e38cce290c9cdb44fc14e,N_MEDIUM,DF_Medium adapter,semantic/compiler validation manifestation,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
064,Medium LCTLC Backend,Four VM Manifestations,Generates DF_Medium-specific LCTLC executable form.,064_Medium_LCTLC_Backend.md,18a48f6f2d19127af2acaf772a928fd1558cbc08e373347acc271721dddb7ad9,N_MEDIUM,LCTLC/1.1 lowering,PA-LCTL rows -> LCTLC/1.1 -> BRIR/1.1 -> BRIM,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
065,DF_Large Adapter,Four VM Manifestations,"Provides service, device, and external-interface execution on DF_Large.",065_DF_Large_Adapter.md,8847cc0b6ca3d06eca4454112e6fd4596271b7e84f6c13c7e1a49bf68415b9ab,N_LARGE,DF_Large adapter,device/service/host-interface manifestation,REFERENCE_IMPLEMENTED,BLOCKED,"Full VEC1 component closure requires all 2,604 actionable items and independent evidence review; this integration candidate does not fabricate that closure."
