schema_version,package_version,hardening_profile,evidence_schema,number,title,layer,purpose,file,checklist_items,acceptance_parent_items,parent_checkboxes,nested_todos_per_parent,nested_todos,actionable_checkboxes,prompt_workflow_pairs,prompts,workflows,validation_status,sha256
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,11,Charge Register,Virtual Physical-Properties Layer,"Represents the logical electron charge, normally -1.",011_Charge_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,82dcbce564cb9c5629dbba9592427b52e8bfd699dba6004a450bd8ae84b0ef3a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,12,Energy Register,Virtual Physical-Properties Layer,Stores the current virtual energy level.,012_Energy_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,410a22241414c39e38b85b2f7954bb8b48708ca8d685eb8e2ba1f9d3c1f64410
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,13,Orbital Register,Virtual Physical-Properties Layer,"Stores the current logical orbital, plugin, or execution assignment.",013_Orbital_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d6143295b345f15244283d9b77ce92d50cc8c80b396a415a21223b88b1f01f78
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,14,State Register,Virtual Physical-Properties Layer,Stores the general electron state identifier.,014_State_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,4bfb8b574552c706dd5170574f3ff0f7e491d11fc473096ec049a272d8918d59
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,15,Phase Register,Virtual Physical-Properties Layer,Provides a deterministic phase or state-cycle representation.,015_Phase_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,a8eee2c6ec192627549e85732e18df73c62b4651e4e27b4d733adc9f3ad05324
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,16,Spin Register,Virtual Physical-Properties Layer,Provides a logical two-state property such as UP/DOWN or 0/1.,016_Spin_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,9023f7e5adf8ca21a9c09364537d51b083936352dad2b53f40545a8cac547836
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,17,Momentum Vector,Virtual Physical-Properties Layer,Optional software representation of directional execution state.,017_Momentum_Vector.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d83bcab7211748c1c54bd64573c455ca8f2b072d13fdb0d86133c7ae0fab15b5
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,18,Position/Node Vector,Virtual Physical-Properties Layer,Represents location within the virtual fabric rather than physical space.,018_Position_Node_Vector.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,4bf41c23736a8f334178f5aa5a564d6d2911ab6b9b7071045c53f0db9fe2181a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,19,Interaction Radius,Virtual Physical-Properties Layer,Defines which other virtual entities the electron may communicate with.,019_Interaction_Radius.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,487a99c2ff382c8e57099d7ba5d10ad1383b1ae7306d6a4d335a5668fa9362d1
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,20,Energy Transition Table,Virtual Physical-Properties Layer,Defines legal changes between virtual energy levels.,020_Energy_Transition_Table.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,1c3d5e065cac8325a650f21e844afa8ffcf25faae2c0231e1ddba1dd955b7fec
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,21,Instruction Decoder,Computational Nucleus,Interprets canonical electron operations.,021_Instruction_Decoder.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e5f782643fa55e568f34287a3750167603972bcfc511555b08cf772722b9939f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,22,State Transition Engine,Computational Nucleus,Computes State(t+1) from State(t) deterministically.,022_State_Transition_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,0acd05d1b21acafc88c36ba68e72a3cba87fc063e2a6eba78e4a425f9eb1faf1
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,23,Register Bank,Computational Nucleus,Holds active runtime values for the electron.,023_Register_Bank.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,ba9b48f889cd827f7fd9f31cd6ceeebf9671ad7d10d12f3ae573469d93569aaa
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,24,Local Working Memory,Computational Nucleus,Provides bounded mutable execution workspace.,024_Local_Working_Memory.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,828b4a3fc004fb13a8ad62b35302009fce735dfbbe96bc7303fb6f0719e00e61
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,25,Persistent State Pointer,Computational Nucleus,Connects the electron to durable state maintained outside local working memory.,025_Persistent_State_Pointer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,2d41a6b2c782fb3792a316d51f1ebb6ed5f7cd8286d6bf5880878a00a21660e7
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,26,Deterministic Clock/Tick Counter,Computational Nucleus,Provides repeatable logical execution ordering.,026_Deterministic_Clock_Tick_Counter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d5715d32aafad7854069a243ed162880179961b83406de8fa186f1bf0e50a34b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,27,Deterministic PRNG,Computational Nucleus,Provides reproducible pseudorandom behavior when required.,027_Deterministic_PRNG.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d2a87d492a0cbffd297b071a717f211b4eb9f947ebd40ab50927b9963ab0c800
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,28,Instruction Counter,Computational Nucleus,Tracks executed operations.,028_Instruction_Counter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,f4d0ad108746b3345c30fb042248061060281d713fe23abfc340c85ffb720b86
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,29,Resource Meter,Computational Nucleus,"Accounts for CPU, time, memory, storage, and step budgets.",029_Resource_Meter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,c2d7aedddb551f5c758e107d7268034628af88bf1b19bf292a0b8edef0350cd3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,30,Execution Status Register,Computational Nucleus,"Tracks running, suspended, blocked, faulted, and verified execution states.",030_Execution_Status_Register.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,ed7b578d4e2c8d156b59be903a56f6224896a269190304027c6d41bdf33da2c0
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,31,Mailbox,Interaction System,Receives messages and events destined for a virtual electron.,031_Mailbox.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,f494a81655d404d24e6b3a6d276049ad35ed7ef1c148b7811668033e32555a39
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,32,Outbound Queue,Interaction System,Buffers messages awaiting delivery.,032_Outbound_Queue.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,3cf5ed9b173cb0f3d73cc2fbf6c09348d248ab74e291570bec6a6b839c0e558b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,33,Interaction Bus Adapter,Interaction System,Connects an electron to DF_Fabric messaging and transport.,033_Interaction_Bus_Adapter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,0dd9d7033fb00db7b2e26915d7c990959797b547c7949ccba5728789210a182f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,34,Peer Address Resolver,Interaction System,Locates other virtual particles and components.,034_Peer_Address_Resolver.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,2f3d6335220a95007c625e46da019e0fa683729c982171fa4053b175555f35f9
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,35,Signal Encoder,Interaction System,Converts internal state and events into Fabric messages.,035_Signal_Encoder.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,54d3bc174ad21a9a2cb0c30d99b53f91cff3be8060658017dc067e2b695c4ecf
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,36,Signal Decoder,Interaction System,Converts Fabric messages into validated electron events.,036_Signal_Decoder.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,aaddc8778ea8cea3a2d96f9be709dea4bdee57f1c61cd2c8daea37051250e2fd
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,37,Event Router,Interaction System,Routes interactions to the correct handler.,037_Event_Router.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e71ea773f7435314ec00b11cdc7de92e21940a75cf750c3381fbd43f499a3666
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,38,Subscription Table,Interaction System,Defines events to which the electron responds.,038_Subscription_Table.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,8923bd9109c5301323972f1a44655f0d42f267de2560987cb9774b6f745fe40b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,39,Binding Table,Interaction System,"Associates the electron with plugins, agents, tools, or workloads.",039_Binding_Table.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,13f5c81eaa77d166d116057b6b6663a209f0bbc00bd5c483f378e5d7b62e04bd
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,40,Interaction Policy,Interaction System,Defines which entities the electron is permitted to contact and under what conditions.,040_Interaction_Policy.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,46596672d95ead6ddf121e02c4bc6a06a643ca975fd58ab40935b03b714ba13b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,41,Freeze Controller,Clone Machinery,Halts the source electron at a deterministic state boundary.,041_Freeze_Controller.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,eba3d370fbd48381485228a3ae40b6e6908526d529176be83b857b06601a0711
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,42,State Canonicalizer,Clone Machinery,Converts VM-specific state into the common VEC state form.,042_State_Canonicalizer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,6b6b1b59b21a244224814ebc4fa0624cb255c3e508c2d95ebc199621d4528b3c
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,43,Snapshot Engine,Clone Machinery,Produces sealed electron snapshots.,043_Snapshot_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,704616c5fb7c81fb02bcfc5af12764733a99885140b47e9d56c988e214fbba0f
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,44,Snapshot Hash,Clone Machinery,Cryptographically identifies a clone point.,044_Snapshot_Hash.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,bd96203b262eb2790587001da67a6e408e6b5440d58980446cdff28e056f4513
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,45,Fork Controller,Clone Machinery,Creates child electron instances from sealed state.,045_Fork_Controller.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,89e15723f1d9b7358ee71543882af84959efd9e0e37e3b9eb93ef58d3d892930
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,46,Clone-ID Generator,Clone Machinery,Creates unique descendant identifiers.,046_Clone_ID_Generator.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,38a6c1d18f78fd9b8fa9fde6cae8baa77f302a49992ede57ed4d88ec919ce91a
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,47,Copy-on-Write State Store,Clone Machinery,Avoids copying unchanged state for every clone.,047_Copy_on_Write_State_Store.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,678372ddf31a7d302e1a054e9ff10500d4b9a5db0e60ce572c121504a8764a7e
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,48,Clone Manifest,Clone Machinery,"Describes parent, child, snapshot, genome, and creation event.",048_Clone_Manifest.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,f213250db9534ae039b8c73d0730d627da019dc58f7caad8eb89025252bce3ef
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,49,Restore Engine,Clone Machinery,Instantiates an electron from a validated snapshot.,049_Restore_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,35c543ce263ad7c2a9b095f5491fc56efc85d76dfd43f942fb2d116244116963
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,50,Clone Equivalence Tester,Clone Machinery,Confirms parent and clone began from identical canonical state.,050_Clone_Equivalence_Tester.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,01c580fa6e3194a6d2263bdf6139a1ff2e04b0021fe62ea1c913b4fdfbf26f15
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,51,Canonical State Hash,Integrity & Evidence,Fingerprints the current logical state.,051_Canonical_State_Hash.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,7bc9fcaacf0d0ff9135b33c6e639fa29d6893c3755aa93b2516092f25cf87fa4
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,52,Capability Hash,Integrity & Evidence,Fingerprints the permitted capability set.,052_Capability_Hash.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,41557efc19f7b4e064158d93be68f0c52570895f122e36f1abecc9cdfdd52223
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,53,Configuration Hash,Integrity & Evidence,Fingerprints runtime configuration.,053_Configuration_Hash.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,33475f4e97ea6555b743822307a292029791c0740406f5430912efdb4a38d34d
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,54,Execution Receipt,Integrity & Evidence,"Records what program ran, under which inputs, and its outcome.",054_Execution_Receipt.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,0b6bfb94b029b28cbb4a84668fc1c12eeb2330acfa1ce78086a1b3d39ea791ba
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,55,Attestation Record,Integrity & Evidence,Records which VM nodes independently verified execution.,055_Attestation_Record.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e7f9bef8ad2ce82d87aa80a1141ca1a6e83463fa28daf279b0ffeaf9f040f5a0
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,56,Append-Only Event Ledger,Integrity & Evidence,Maintains the permanent electron history.,056_Append_Only_Event_Ledger.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,800714d1ae9de979cc898a05398b3bbd1a0d3a53cbf0f11ceab70cb6d1c0b1d3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,57,Replay Engine,Integrity & Evidence,Reconstructs execution from recorded deterministic events.,057_Replay_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,61e76752e6e3718438de5497a7f483b592da8626c810e96e334cb7a730d4a4b9
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,58,Tamper Detector,Integrity & Evidence,"Rejects altered genome, state, manifest, and ledger artifacts.",058_Tamper_Detector.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,572975cb59a48dbf28d538ab8e784065dfa6a3ce80af42cac7086c615ebddaa6
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,59,Schema Validator,Integrity & Evidence,Rejects malformed or incompatible VEC structures.,059_Schema_Validator.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,bd69d520ca79a5aef11fb5d5e11c3f69de56793d908e14f6114554e49687d962
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,60,Fail-Closed Gate Controller,Integrity & Evidence,Prevents unverified instances or transitions from becoming operational.,060_Fail_Closed_Gate_Controller.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d2d4097818bfd5330034aa884c15cf583a1ce3f06857c1a11f7b03fbc70d3908
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,61,DF_Small Adapter,Four VM Manifestations,Provides the minimal/reference VEC implementation on DF_Small.,061_DF_Small_Adapter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,86ec683dfd80bb5f777122857eef4d59e75e6e7241f59cf76429dfd2f2e5cd20
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,62,MSSL Lowering Backend,Four VM Manifestations,Produces DF_Small-compatible MSSL representation.,062_MSSL_Lowering_Backend.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d3857d5bec49c965d3d3dd7a6e88ae3f52a7fcdc50842d0ce057c7fe9ecc3a8e
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,63,DF_Medium Adapter,Four VM Manifestations,Provides the main semantic/compiler validation environment.,063_DF_Medium_Adapter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,1f8859844cbfc8a3ea62d237cf69ef7f8af138392c0e38cce290c9cdb44fc14e
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,64,Medium LCTLC Backend,Four VM Manifestations,Generates DF_Medium-specific LCTLC executable form.,064_Medium_LCTLC_Backend.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,18a48f6f2d19127af2acaf772a928fd1558cbc08e373347acc271721dddb7ad9
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,65,DF_Large Adapter,Four VM Manifestations,"Provides service, device, and external-interface execution on DF_Large.",065_DF_Large_Adapter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,8847cc0b6ca3d06eca4454112e6fd4596271b7e84f6c13c7e1a49bf68415b9ab
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,66,Large LCTLC Backend,Four VM Manifestations,Generates DF_Large-specific LCTLC executable form.,066_Large_LCTLC_Backend.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,0435b3a48b77cda47fd4e6cf94324291df67d82d5afcc3f2bef4c374b8dd4018
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,67,DF_Xtra_Large Adapter,Four VM Manifestations,Provides large-state and long-running electron execution.,067_DF_Xtra_Large_Adapter.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e8f9ed83a983102453e8d039f3fca121b367fd22cd3bdf75d5a87eb6cf66f9eb
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,68,XL/QVM Lowering Backend,Four VM Manifestations,Generates DF_Xtra_Large/QVM-compatible execution form.,068_XL_QVM_Lowering_Backend.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,1cc27c37243abff54eb7f4692a91cf7b3cfaa1cb977ca2e18844126331d0bd9b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,69,Result Normalizer,Four VM Manifestations,Maps target-specific result conventions into the common VEC result model.,069_Result_Normalizer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,bca99762d1e323d2586eb5dc42f5fdadc612b5c9d549162c7f437eb1a1f39170
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,70,Cross-Target Comparator,Four VM Manifestations,Verifies that all target manifestations produce equivalent logical results.,070_Cross_Target_Comparator.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,61840cbe461efb6ea4071f1cc745cc2d4720a9480b2d568817fa66323858f87b
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,71,Electron Registry,DF_Fabric Environment,"Catalogs active, dormant, suspended, and retired VEC instances.",071_Electron_Registry.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d510dc21db61f174912eb5e0e17046a38d6fe6911eb150072dea5dc53b172ebb
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,72,Fabric Scheduler,DF_Fabric Environment,Determines when and where electrons execute.,072_Fabric_Scheduler.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e4ccad8d853e8c1be0c592d85aeeefef6cb0aeefdbd2711b97e4d723e0850506
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,73,Placement Engine,DF_Fabric Environment,"Assigns electrons to Small, Medium, Large, and Xtra-Large nodes.",073_Placement_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,45822447db32fce68f0d5b8d4bfda193eede2497c193bb15de7b8b7c0fa8cafa
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,74,Replica Manager,DF_Fabric Environment,Creates and supervises parallel execution replicas.,074_Replica_Manager.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e3bc05904f04348819d9211fc8d373800560e70b6d83cf9d357d22e7ecd0b991
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,75,Quorum Manager,DF_Fabric Environment,Determines whether independent results reach the configured agreement threshold.,075_Quorum_Manager.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,121e4296ac0bc9129c1938f15230c0e4ee9f17ebac79c83c0f520b1386284b47
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,76,Differential Verification Engine,DF_Fabric Environment,Compares heterogeneous-node results and identifies divergences.,076_Differential_Verification_Engine.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,c0dacf37da0661c3a6edf87d42ea291bc6410d91e46f0871d28f37b5a1661395
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,77,Fabric Event Log,DF_Fabric Environment,Maintains the distributed execution and coordination history.,077_Fabric_Event_Log.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,82616f808ebb7a78fa100ad3d262df23a56b518184c1276f5fb8baf5b5167626
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,78,Transport Layer,DF_Fabric Environment,"Moves messages, state, receipts, and control records between VM nodes.",078_Transport_Layer.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,557e02773ddc84b511c3e640e4c97f5cbed2d05d89952c435d2af2b73d5021b3
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,79,Node Discovery System,DF_Fabric Environment,Locates compatible VM instances and their capability profiles.,079_Node_Discovery_System.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,7d2053b4cbef87f76e77c9bfc5b4d875043ac442e3d24fe235254b9023718dd2
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,80,Health Monitor,DF_Fabric Environment,Determines whether VM hosts and VEC services are usable.,080_Health_Monitor.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d1029b8f6b9a1dbf838b6916e2dcda0fc235f388632a5930827d2a48a805f025
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,81,Recovery Coordinator,DF_Fabric Environment,Restarts or reconstructs failed electron instances.,081_Recovery_Coordinator.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,37eed710d329e2a39188e8c3b5bd6f95f981a0f73d82f344985144d67df03dad
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,82,Checkpoint Coordinator,DF_Fabric Environment,Coordinates consistent distributed snapshots.,082_Checkpoint_Coordinator.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,e39f434afc2a50d104ccde0aeaa2dcc0980428660fd4e28521e683c631c0b2af
1.1,1.3.0,VEC1-HARDENING/1.3,VEC1-EVIDENCE/1.0,83,Capability Manifest,Capability & Security Envelope,Explicitly states what the electron may do.,083_Capability_Manifest.md,120,4,124,20,2480,2604,2604,2604,2604,PASS,d286a07e261bb1ee985fae9127a07805d4051e93d7b42bf35948eef25516e855
